2017-02-10 10:14:36|GET|/|200||GET / HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|385
2017-02-10 10:14:36|GET|/css/animate.min.css|304||GET /css/animate.min.css HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|34
2017-02-10 10:14:36|GET|/css/jquery.fullPage.css|304||GET /css/jquery.fullPage.css HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|87
2017-02-10 10:14:36|GET|/js/vendor/jquery.slimscroll.min.js|304||GET /js/vendor/jquery.slimscroll.min.js HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|49
2017-02-10 10:14:37|GET|/js/jquery.fullPage.min.js|304||GET /js/jquery.fullPage.min.js HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|39
2017-02-10 10:14:37|GET|/js/vendor/jquery.easings.min.js|304||GET /js/vendor/jquery.easings.min.js HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|61
2017-02-10 10:14:37|GET|/img/emaul-logo-w.png|304||GET /img/emaul-logo-w.png HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|13
2017-02-10 10:14:37|GET|/js/js.cookie.js|304||GET /js/js.cookie.js HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|20
2017-02-10 10:14:37|GET|/img/login_apple.png|304||GET /img/login_apple.png HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|33
2017-02-10 10:14:37|GET|/img/bg-login.jpg|304||GET /img/bg-login.jpg HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|62
2017-02-10 10:14:37|GET|/img/login_google.png|304||GET /img/login_google.png HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|80
2017-02-10 10:14:39|POST|/api/public/user/login|302||POST /api/public/user/login HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|513
2017-02-10 10:14:40|GET|/|302||GET / HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|761
2017-02-10 10:14:42|GET|/admin/user/list|200||GET /admin/user/list HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|1606
2017-02-10 10:14:42|GET|/img/sort_asc.png|304||GET /img/sort_asc.png HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|212
2017-02-10 10:14:42|GET|/img/sort_desc.png|304||GET /img/sort_desc.png HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|184
2017-02-10 10:14:43|GET|/admin/user/last-login-pop|200||GET /admin/user/last-login-pop HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|313
2017-02-10 10:14:43|GET|/img/adminHome/home2.png|200||GET /img/adminHome/home2.png HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|36
2017-02-10 10:14:43|GET|/img/adminHome/menu2.png|304||GET /img/adminHome/menu2.png HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|28
2017-02-10 10:14:46|GET|/jaha/apt/ap/user/monitoring/list|200||GET /jaha/apt/ap/user/monitoring/list HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|562
2017-02-10 10:14:46|GET|/js/common.js|304||GET /js/common.js HTTP/1.1|http://localhost:8888/jaha/apt/ap/user/monitoring/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|27
2017-02-10 10:14:47|POST|/jaha/apt/ap/user/monitoring/list-data|200||POST /jaha/apt/ap/user/monitoring/list-data HTTP/1.1|http://localhost:8888/jaha/apt/ap/user/monitoring/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|980
2017-02-10 10:15:07|GET|/jaha/apt/ap/user/edoorMember/list-data|200|?sDate=2017-02-02&eDate=2017-02-09|GET /jaha/apt/ap/user/edoorMember/list-data?sDate=2017-02-02&eDate=2017-02-09 HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|3054
2017-02-10 10:15:47|GET|/jaha/apt/ap/user/edoorMember/list-data|200|?sDate=2017-02-02&eDate=2017-02-09|GET /jaha/apt/ap/user/edoorMember/list-data?sDate=2017-02-02&eDate=2017-02-09 HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|2605
