2017-02-07 09:23:43|GET|/|200||GET / HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|333
2017-02-07 09:23:44|POST|/api/public/user/login|302||POST /api/public/user/login HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|436
2017-02-07 09:23:45|GET|/|302||GET / HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|675
2017-02-07 09:23:47|GET|/admin/user/list|200||GET /admin/user/list HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|1717
2017-02-07 09:23:47|GET|/admin/user/last-login-pop|200||GET /admin/user/last-login-pop HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|281
2017-02-07 09:23:53|GET|/jaha/apt/membership/list|200||GET /jaha/apt/membership/list HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|571
2017-02-07 09:23:53|GET|/js/common.js|200||GET /js/common.js HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|50
2017-02-07 09:23:53|GET|/api/public/address/sido-names|200||GET /api/public/address/sido-names HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|142
2017-02-07 09:23:56|GET|/jaha/apt/membership/list-data|200|?sidoNm=&sggNm=&aptNm=&sDate=&eDate=&pageSize=10&pageNum=1|GET /jaha/apt/membership/list-data?sidoNm=&sggNm=&aptNm=&sDate=&eDate=&pageSize=10&pageNum=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|945
2017-02-07 09:23:58|GET|/jaha/user/search/list-data|200|?aptId=572&_type=1&_admin=1|GET /jaha/user/search/list-data?aptId=572&_type=1&_admin=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|435
2017-02-07 09:24:06|GET|/jaha/apt/membership/list|200||GET /jaha/apt/membership/list HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|590
2017-02-07 09:24:06|GET|/api/public/address/sido-names|200||GET /api/public/address/sido-names HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|131
2017-02-07 09:24:10|GET|/jaha/apt/membership/list-data|200|?sidoNm=&sggNm=&aptNm=&sDate=&eDate=&pageSize=10&pageNum=1|GET /jaha/apt/membership/list-data?sidoNm=&sggNm=&aptNm=&sDate=&eDate=&pageSize=10&pageNum=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|765
2017-02-07 09:24:12|GET|/jaha/user/search/list-data|200|?aptId=726&_type=1&_admin=1|GET /jaha/user/search/list-data?aptId=726&_type=1&_admin=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|280
2017-02-07 09:24:19|GET|/jaha/user/search/list-data|200|?aptId=726&_type=1&_admin=1|GET /jaha/user/search/list-data?aptId=726&_type=1&_admin=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|269
2017-02-07 09:24:32|GET|/jaha/apt/user/list/popup|200|?aptId=572|GET /jaha/apt/user/list/popup?aptId=572 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|667
2017-02-07 09:24:33|GET|/jaha/apt/user/list/popup-data|200|?pageNum=1&aptId=572|GET /jaha/apt/user/list/popup-data?pageNum=1&aptId=572 HTTP/1.1|http://localhost:8888/jaha/apt/user/list/popup?aptId=572|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|477
2017-02-07 09:24:35|GET|/jaha/user/data|200|?id=8663|GET /jaha/user/data?id=8663 HTTP/1.1|http://localhost:8888/jaha/apt/user/list/popup?aptId=572|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|251
2017-02-07 09:24:38|GET|/jaha/user/data|200|?id=8662|GET /jaha/user/data?id=8662 HTTP/1.1|http://localhost:8888/jaha/apt/user/list/popup?aptId=572|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|248
2017-02-07 09:24:46|GET|/jaha/apt/user/list/popup|200|?aptId=572|GET /jaha/apt/user/list/popup?aptId=572 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|667
2017-02-07 09:24:46|GET|/jaha/apt/user/list/popup-data|200|?pageNum=1&aptId=572|GET /jaha/apt/user/list/popup-data?pageNum=1&aptId=572 HTTP/1.1|http://localhost:8888/jaha/apt/user/list/popup?aptId=572|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|505
2017-02-07 09:25:26|GET|/jaha/apt/user/list/popup|200|?aptId=572|GET /jaha/apt/user/list/popup?aptId=572 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|591
2017-02-07 09:25:26|GET|/jaha/apt/user/list/popup-data|200|?pageNum=1&aptId=572|GET /jaha/apt/user/list/popup-data?pageNum=1&aptId=572 HTTP/1.1|http://localhost:8888/jaha/apt/user/list/popup?aptId=572|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|471
2017-02-07 09:25:27|GET|/jaha/user/data|200|?id=8663|GET /jaha/user/data?id=8663 HTTP/1.1|http://localhost:8888/jaha/apt/user/list/popup?aptId=572|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36|256
