2017-02-09 11:11:04|GET|/jaha/apt/ap/user/edoorMember/list-data|200|?sDate=2017-01-27&eDate=2017-02-07|GET /jaha/apt/ap/user/edoorMember/list-data?sDate=2017-01-27&eDate=2017-02-07 HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|1926
2017-02-09 11:30:37|GET|/admin/user/list|200||GET /admin/user/list HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|1828
2017-02-09 11:30:37|GET|/favicon.ico|200||GET /favicon.ico HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|37
2017-02-09 11:30:37|GET|/admin/user/last-login-pop|200||GET /admin/user/last-login-pop HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|239
2017-02-09 11:30:41|GET|/jaha/apt/ap/user/monitoring/list|200||GET /jaha/apt/ap/user/monitoring/list HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|616
2017-02-09 11:30:41|GET|/css/bootstrap-datetimepicker.css|304||GET /css/bootstrap-datetimepicker.css HTTP/1.1|http://localhost:8888/jaha/apt/ap/user/monitoring/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|50
2017-02-09 11:30:41|GET|/js/jquery.blockUI.js|304||GET /js/jquery.blockUI.js HTTP/1.1|http://localhost:8888/jaha/apt/ap/user/monitoring/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|49
2017-02-09 11:30:41|GET|/js/moment-with-locales.js|304||GET /js/moment-with-locales.js HTTP/1.1|http://localhost:8888/jaha/apt/ap/user/monitoring/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|42
2017-02-09 11:30:41|GET|/js/bootstrap-datetimepicker.js|304||GET /js/bootstrap-datetimepicker.js HTTP/1.1|http://localhost:8888/jaha/apt/ap/user/monitoring/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|50
2017-02-09 11:30:41|GET|/js/common.js|304||GET /js/common.js HTTP/1.1|http://localhost:8888/jaha/apt/ap/user/monitoring/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|69
